Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.7566114548201051,2.758466900706876,0.0,0.0,0.0,119/192,12.05%,NID2;COL5A3;NTM;FOXC2;EFEMP2;SERPINE1;COL6A3;THY1;SCG2;COL1A2;SFRP4;MSX1;SLIT2;PDGFRB;COL5A2;PDLIM4;BGN;IGFBP4;NT5E;FAP;VIM;COL3A1;MATN3;ANPEP;COL6A2;DPYSL3;FBN1;LOXL1;RGS4;CXCL12;SNAI2;EMP3;MMP2;POSTN;ADAM12;HTRA1;SPARC;PCOLCE;ITGA5;COL1A1;VEGFC;TGFB1;PCOLCE2;VCAN;EDIL3;ECM1;PRRX1;CDH6;COL7A1;CDH11;PTX3;DAB2;COL5A1;ABI3BP;MMP14;TIMP3;TPM2;COL4A1;GLIPR1;MFAP5;LOXL2;LAMA1;MMP3;FN1;LAMC1;GPC1;GEM;LAMA2;SERPINE2;ITGA2;ECM2;MYL9;LRP1;MMP1;FZD8;SGCG;CTHRC1;GAS1;LGALS1;BDNF;TGFBI;TFPI2;SGCD;TNFRSF11B;MYLK;FSTL1;BMP1;GJA1;LAMA3;FAS;ACTA2;TNC;LAMC2;FGF2;FBN2;DCN;SLIT3;LOX;TIMP1;THBS2;PLOD2;DKK1;TAGLN;PLOD3;CALD1;SERPINH1;CALU;SGCB;PRSS2;WIPF1;COL4A2;IL6;ITGAV;THBS1;COLGALT1;BASP1;TGFBR3;IGFBP3;CAP2
prerank,HALLMARK_UV_RESPONSE_DN,0.5811349503983648,2.0345420608925355,0.0,0.0,0.0,43/138,12.16%,SERPINE1;COL1A2;HAS2;PDGFRB;COL5A2;COL3A1;LPAR1;PTGFR;DLC1;RGS4;SNAI2;MMP16;FZD2;COL1A1;SYNE1;CAV1;NRP1;DAB2;MAP1B;PRKCA;TGFBR2;LAMC1;MAGI2;PTPRM;MET;BDNF;SCN8A;TFPI;MGLL;EFEMP1;GJA1;AKT3;ADORA2B;SMAD3;LTBP1;IRS1;SCHIP1;MT1E;CACNA1A;APBB2;TGFBR3;CAP2;CDC42BPA
prerank,HALLMARK_ANGIOGENESIS,0.6949993880004771,1.90458406172117,0.0,0.0,0.0,17/32,13.83%,MSX1;COL5A2;COL3A1;POSTN;VCAN;NRP1;KCNJ8;CCND2;FGFR1;PDGFA;S100A4;FSTL1;TIMP1;ITGAV;JAG1;JAG2;LUM
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.6411192282015358,1.7389787473132554,0.0031496062992125984,0.0033627798980490537,0.014,11/29,11.76%,NRCAM;THY1;SCG2;GLI1;L1CAM;NRP1;NRP2;UNC5C;CDK5R1;CDK6;DPYSL2
prerank,HALLMARK_APICAL_JUNCTION,0.4822286900490521,1.718097318451652,0.0,0.00307454162107342,0.015,72/171,23.31%,ADAM23;JAM3;FLNC;CD209;THY1;SLIT2;NEGR1;LAYN;FBN1;MMP2;VCAN;CDH6;CDH11;CLDN11;LAMB3;AMIGO2;ADAM9;NEXN;ITGA10;ITGA2;MYL9;TRO;CLDN18;NRXN2;TGFBI;ITGA3;ACTG2;TNFRSF11B;CALB2;BMP1;LAMA3;AKT3;LAMC2;TRAF1;CDSN;FSCN1;SGCE;RAC2;IRS1;ZYX;SPEG;GNAI2;CERCAM;COL9A1;EPB41L2;COL16A1;ITGA9;ICAM4;GAMT;AMH;PARD6G;MSN;TSPAN4;SIRPA;ITGB1;RASA1;RRAS;BAIAP2;ADAMTS5;ARHGEF6;VAV2;SHC1;LIMA1;STX4;NLGN2;SHROOM2;CDH8;NF2;ICAM1;THBS3;VASP;SORBS3
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.41606642358289037,-1.7061695030746533,0.0,0.02234458542813822,0.02,57/184,13.97%,TFF3;S100A9;TFF1;OLFM1;AGR2;SULT2B1;CHST8;HMGCS2;SCUBE2;DHRS2;PTGER3;IDH2;RET;CPE;MAPT;SERPINA1;ID2;CKB;DNAJC12;SCNN1A;PCP4;BATF;ANXA9;PDLIM3;HOMER2;TRIM29;TIAM1;TOB1;PRLR;ST6GALNAC2;PGR;ZFP36;DNAJC1;NRIP1;MYB;TJP3;FOS;SLC1A4;TSPAN13;ISG20;XBP1;KRT19;CLIC3;CDH1;FDFT1;SFN;TST;CYP4F11;MAPK13;PERP;FABP5;ITPK1;SLC22A5;SLC2A8;PDCD4;OVOL2;MEST
prerank,HALLMARK_KRAS_SIGNALING_UP,0.4702083117143681,1.676227505276269,0.0,0.005124236035122368,0.03,58/173,14.20%,TSPAN7;HKDC1;GNG11;ADGRA2;ENG;PRRX1;NRP1;SPON1;ABCB1;F13A1;PDCD1LG2;PLAT;ETV1;MMP11;EPHB2;FGF9;BMP2;CCND2;ITGA2;LY96;DCBLD2;ITGBL1;TMEM158;GFPT2;ETV5;GYPC;TFPI;CFH;AKAP12;TNFRSF1B;SERPINA3;TMEM100;PRKG2;PLAU;IL1RL2;SPRY2;TRAF1;NAP1L2;PTPRR;LIF;ETS1;CMKLR1;ITGB2;SATB1;HBEGF;ADGRL4;DUSP6;RBP4;ETV4;F2RL1;BIRC3;IGFBP3;KCNN4;EMP1;SCN1B;PLAUR;G0S2;ADAM8
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.4682697537664773,1.647199590995595,0.0,0.007686354052683551,0.053,63/169,18.02%,ADGRE1;SERPINE1;HAS2;STAB1;PDPN;CD70;LPAR1;EMP3;ITGA5;AXL;CALCRL;TLR3;TNFSF9;PTGIR;CSF3;IL10;MMP14;TNFAIP6;PCDH7;PTGER2;IL18;IL18R1;SPHK1;TLR1;ABCA1;CSF1;DCBLD2;MET;IL1R1;TNFRSF1B;C5AR1;IRAK2;TNFRSF9;PTPRE;NDP;HRH1;TIMP1;GNA15;LIF;ADORA2B;CMKLR1;IL15RA;IL6;HBEGF;CCRL2;SCN1B;PLAUR;IL15;ITGB8;ICAM4;NLRP3;LYN;ATP2B1;BST2;MSR1;LY6E;C3AR1;CCL2;AHR;OSMR;RTP4;CXCR6;RIPK2
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.3925357440661891,-1.613015390240645,0.0,0.02569627324235895,0.046,48/188,11.49%,TFF3;TFF1;AR;KCNK15;MLPH;INHBB;OLFM1;SULT2B1;REEP1;AQP3;DHRS2;MSMB;RET;FCMR;P2RY2;MAPT;SLC7A2;TTC39A;PEX11A;SCNN1A;ANXA9;MREG;PDLIM3;ZNF185;TIAM1;TOB1;ABLIM1;CLDN7;SLC37A1;TBC1D30;PGR;KAZN;NRIP1;MYB;TJP3;FOS;KDM4B;SLC1A4;XBP1;KRT19;CLIC3;WWC1;FDFT1;SFN;SLC19A2;TIPARP;FASN;RHOBTB3
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.430442245997564,-1.5367248461740324,0.013333333333333334,0.035378926927885516,0.094,38/70,22.78%,TM7SF2;SCD;FADS2;SREBF2;HMGCS1;FDPS;NSDHL;EBP;HSD17B7;ATF3;HMGCR;CYP51A1;SC5D;LDLR;ALDOC;TP53INP1;FDFT1;LGALS3;FASN;ACSS2;FABP5;ACAT2;SQLE;FBXO6;GNAI1;PNRC1;IDI1;STX5;PMVK;MVD;CLU;ATF5;ETHE1;CHKA;LSS;NFIL3;PDK3;TMEM97
